Experiment	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	start	end	geneFunction
MitomycinC	2433.10330025451	-0.6846020859258145	0.1314537283080277	-5.207932058964712	1.909568139469003e-7	3.1296124751745787e-7	MIT0604_00001	169	1326	DNA polymerase III%2C beta chain
MitomycinC	761.4387999144706	-0.03356628382083846	0.13238970148738977	-0.2535415024259699	0.7998497942712812	0.8149788595685976	MIT0604_00002	1328	2035	hypothetical protein
MitomycinC	3465.6706820286017	1.2213109760863536	0.10027576501246006	12.179522898026217	3.9961263366954256e-34	1.4401532766224535e-33	MIT0604_00003	2039	4378	phosphoribosylformylglycinamidine synthetase II
MitomycinC	1374.3150411225815	1.5605429599010108	0.09634959101039647	16.196674459496382	5.322883258671988e-59	3.0016369230031844e-58	MIT0604_00004	4426	5886	Amidophosphoribosyltransferase
MitomycinC	1447.745545598925	-1.2496282738001343	0.1326481535427343	-9.42062320827972	4.48418496892548e-21	1.1517097404504966e-20	MIT0604_00005	5883	8324	DNA gyrase/topoisomerase IV%2C subunit A
MitomycinC	319.1624502330397	2.312083599666578	0.24550735362697115	9.417573712189512	4.6163165229923914e-21	1.1841603912989254e-20	MIT0604_00006	8402	9265	Flp pilus assembly protein TadD%2C contains TPR repeats
MitomycinC	377.08803204994416	0.674501767785481	0.14386942909716616	4.688291126323562	2.754959107577235e-6	4.278756671631714e-6	MIT0604_00007	9262	10218	Epoxyqueuosine (oQ) reductase QueG
MitomycinC	2836.898486616532	-1.2934076733859639	0.09913646586369902	-13.046739785582504	6.632544550733531e-39	2.626077117089272e-38	MIT0604_00008	10364	11098	Transporter
MitomycinC	1036.147270417775	-0.5067299444746892	0.13991821165204488	-3.6216153600851393	2.92769199873262e-4	4.0383999470388634e-4	MIT0604_00009	11102	11719	Antitermination protein NusB
MitomycinC	850.2865356694782	0.6817858778172206	0.1655174736968421	4.119117230280855	3.8032662972230457e-5	5.564232299754829e-5	MIT0604_00010	11786	13039	signal recognition particle-docking protein FtsY
MitomycinC	374.6716943892334	0.9955715818884763	0.18346172951429612	5.426589973419481	5.744087613774692e-8	9.590658519899505e-8	MIT0604_00011	13107	14450	Protein phosphatase 2C domain-containing protein
MitomycinC	1064.5398480982487	-0.5950513264118803	0.10033604960610513	-5.930583561420912	3.018599132661199e-9	5.382467268778288e-9	MIT0604_00012	14513	15892	Fumarate lyase:Delta crystallin
MitomycinC	1612.861648062178	-0.10718430025276532	0.17819862126897734	-0.6014878201048409	0.547515121784157	0.5741616056824638	MIT0604_00013	16006	16635	RNA-binding region RNP-1 (RNA recognition motif)
MitomycinC	546.5300290978116	2.0446934650636863	0.11160445583890882	18.32089453502664	5.637849938244631e-75	3.821416829002239e-74	MIT0604_00014	16632	17636	tRNA-dihydrouridine synthase
MitomycinC	2239.0048356503203	1.9213138123001696	0.17993393747066677	10.677884557566504	1.2918184545811005e-26	3.7993568628268856e-26	MIT0604_00015	17659	18153	Methionine sulfoxide reductase B
MitomycinC	10625.52128313029	2.4109249506003416	0.07188285515630849	33.539638142611494	1.2748941972663567e-246	5.117075336871044e-245	MIT0604_00016	18229	18948	Heat shock protein GrpE
MitomycinC	9746.143930518818	3.319524709437681	0.07687360144676611	43.18159481231545	0	0	MIT0604_00017	18978	20102	DnaJ protein
MitomycinC	1060.1362863492056	2.7831158729145913	0.1514104455843044	18.381267304077575	1.8558198798579206e-75	1.270522840825807e-74	MIT0604_00018	20102	20332	hypothetical protein
MitomycinC	2401.1924174982764	5.527780745745493	0.16057280099789908	34.425386562309626	1.0517878643052647e-259	4.5808718260273975e-258	MIT0604_00019	20322	21239	Ribosome small subunit-stimulated GTPase EngC
MitomycinC	1535.0566659487026	-2.6831904479292707	0.15024209408814115	-17.85911241595946	2.455123645532672e-71	1.5853747957114762e-70	MIT0604_00020	21205	21555	hypothetical protein
MitomycinC	469.7237809991045	0.6275662223089321	0.1656973159460932	3.787425395068561	1.522163683659058e-4	2.1356196438999944e-4	MIT0604_00021	21573	22499	UDP-N-acetylenolpyruvoylglucosamine reductase
MitomycinC	659.2060182182473	0.3949677797693808	0.15871105261193486	2.4885965612938024	0.012824840520903243	0.015748319463880587	MIT0604_00022	22483	23892	putative UDP-N-acetylmuramate-alanine ligase
MitomycinC	5129.504084558228	-1.8460016498799605	0.17882439857319868	-10.32298536781787	5.547104506837921e-25	1.5748852878636927e-24	MIT0604_00023	24086	25108	Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
MitomycinC	719.6723563671179	0.17587926004425247	0.1001824544310587	1.7555894497003472	0.07915853497784382	0.09165018161744701	MIT0604_00024	25109	26095	Thiamine-monophosphate kinase
MitomycinC	2249.2595343062103	-2.4613629270280324	0.131488143659083	-18.719276571504057	3.448021834381885e-78	2.4338278258550753e-77	MIT0604_00025	26088	27179	cyclophilin-type peptidyl-prolyl cis-trans isomerase
MitomycinC	2584.4222344726677	-2.429393593790344	0.09643745333369332	-25.19139099810263	4.977658139630379e-140	7.837897086017988e-139	MIT0604_00026	27197	27784	translation elongation factor P
